"filename", "language", "Properties", "HTML", "JSON", "JavaScript", "XML", "TypeScript", "JSON with Comments", "TypeScript JSX", "Markdown", "PostCSS", "comment", "blank", "total"
"d:\TusukaReact\TusukaWebsiteCLientOfficial\.env", "Properties", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3
"d:\TusukaReact\TusukaWebsiteCLientOfficial\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 9, 57
"d:\TusukaReact\TusukaWebsiteCLientOfficial\eslint.config.js", "JavaScript", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 2, 29
"d:\TusukaReact\TusukaWebsiteCLientOfficial\index.html", "HTML", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"d:\TusukaReact\TusukaWebsiteCLientOfficial\package-lock.json", "JSON", 0, 0, 5789, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5790
"d:\TusukaReact\TusukaWebsiteCLientOfficial\package.json", "JSON", 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 1, 58
"d:\TusukaReact\TusukaWebsiteCLientOfficial\plan.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 1, 50
"d:\TusukaReact\TusukaWebsiteCLientOfficial\public\CoreComponent.json", "JSON", 0, 0, 180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 180
"d:\TusukaReact\TusukaWebsiteCLientOfficial\public\DirectorsData.json", "JSON", 0, 0, 452, 0, 0, 0, 0, 0, 0, 0, 0, 1, 453
"d:\TusukaReact\TusukaWebsiteCLientOfficial\public\PlantsData.json", "JSON", 0, 0, 196, 0, 0, 0, 0, 0, 0, 0, 0, 1, 197
"d:\TusukaReact\TusukaWebsiteCLientOfficial\public\aboutData.json", "JSON", 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 4, 89
"d:\TusukaReact\TusukaWebsiteCLientOfficial\public\companyReportData.json", "JSON", 0, 0, 208, 0, 0, 0, 0, 0, 0, 0, 0, 48, 256
"d:\TusukaReact\TusukaWebsiteCLientOfficial\public\laboratoryData.json", "JSON", 0, 0, 129, 0, 0, 0, 0, 0, 0, 0, 0, 2, 131
