Date : 2025-08-18 16:46:31
Directory : d:\TusukaReact\TusukaWebsiteCLientOfficial
Total : 148 files,  23028 codes, 2313 comments, 1751 blanks, all 27092 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript JSX     |        106 |     14,706 |      2,110 |      1,513 |     18,329 |
| JSON               |         12 |      7,257 |         33 |         71 |      7,361 |
| TypeScript         |         18 |        720 |        114 |        127 |        961 |
| XML                |          4 |        108 |          0 |          1 |        109 |
| HTML               |          2 |        104 |          5 |         13 |        122 |
| PostCSS            |          2 |         49 |         50 |         14 |        113 |
| Markdown           |          1 |         48 |          0 |          9 |         57 |
| JavaScript         |          1 |         27 |          0 |          2 |         29 |
| JSON with Comments |          1 |          7 |          0 |          1 |          8 |
| Properties         |          1 |          2 |          1 |          0 |          3 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                              | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                 |        148 |     23,028 |      2,313 |      1,751 |     27,092 |
| . (Files)                                                                                                         |         15 |      6,060 |         84 |         40 |      6,184 |
| public                                                                                                            |          8 |      1,354 |          0 |         60 |      1,414 |
| src                                                                                                               |        125 |     15,614 |      2,229 |      1,651 |     19,494 |
| src (Files)                                                                                                       |          6 |        138 |         66 |         28 |        232 |
| src\Components                                                                                                    |         84 |     12,271 |      1,323 |      1,185 |     14,779 |
| src\Components (Files)                                                                                            |         15 |      1,809 |        146 |        200 |      2,155 |
| src\Components\Admin                                                                                              |         42 |      7,495 |        456 |        662 |      8,613 |
| src\Components\Admin\About                                                                                        |         18 |      2,995 |         73 |        228 |      3,296 |
| src\Components\Admin\ExplorePlantComponent                                                                        |         12 |      2,586 |        290 |        234 |      3,110 |
